상호명,지점명,상권업종대분류명,대분류코드명,상권업종중분류명,중분류코드명,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동명,법정동명,도로명주소,전화번호,영업시간,위도,경도,일층,경사로,입구턱,입구문턱,테이블석,화장실턱,화장실문턱,장애인화장실,엘리베이터,주차장,장애인주차장,테이크아웃
Cafedecen,,카페,C,카페,C1,"과일, 주스전문점",11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로 13 (서초동),02-521-3512,,37.48187083,127.011879,Y,N,N,Y,Y,N,N,N,N,N,N,N
던킨도너츠,강남본점,카페,C,제과제빵,C2,빵/도넛,11,서울특별시,11650,서초구,서초2동,서초동,서울특별시 서초구 강남대로 373 (서초동),02-3475-1031,매일 00:00 - 24:00,37.49597084,127.0279895,Y,N,N,Y,Y,N,N,N,N,N,N,N
라이트업커피,3호점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초2동,서초동,서울특별시 서초구 강남대로 321 (서초동),,,37.49157185,127.0299576,Y,N,N,Y,Y,N,N,N,N,N,N,N
배스킨라빈스,강남신논현점,카페,C,아이스크림,C3,아이스크림,11,서울특별시,11650,서초구,서초4동,서초동,서울특별시 서초구 강남대로69길 8 (서초동),02-532-0091,매일 10:00 - 23:00 점포별 상이,37.50181746,127.024768,Y,N,Y,N,Y,N,N,N,N,N,N,N
비엔나커피하우스,방배점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배1동,방배동,서울특별시 서초구 방배로 126,02-585-1683,평일 08:30 - 23:00 | 주말 11:00 - 23:00,37.4853549,126.995494,Y,Y,N,Y,Y,N,N,N,N,N,N,N
비엔나커피하우스,이수역점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 동작대로 86 (방배동),02-522-1683,평일 08:00 - 21:00 | 주말 10:00 - 21:00,37.48422488,126.9824268,Y,N,N,Y,Y,N,N,N,N,N,N,N
빌리엔젤,교대점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로28길 94 (서초동),070-4694-0269,매일 11:00 - 22:00,37.4919301,127.0133749,Y,N,N,Y,Y,N,N,N,N,N,N,N
빽다방,신논현역점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,반포1동,반포동,서울특별시 서초구 사평대로 367 (반포동),02-548-0410,평일 07:00 - 21:30 | 주말 10:00 - 21:00,37.50437327,127.023085,Y,N,N,Y,Y,N,N,N,N,N,N,N
엘리씨커피,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배4동,방배동,서울특별시 서초구 동광로12가길 3 (방배동),02-533-5157,"평일 08:00 - 23:00 | 주말, 공휴일 09:00 - 22:00",37.48738894,126.9846793,Y,Y,N,Y,Y,N,N,N,N,N,N,N
카페3,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초2동,서초동,서울특별시 서초구 남부순환로 2583 (서초동),02-521-6356,평일 07:30 - 24:00  토요일 07:30 ~ 22:00 | 일요일 10:00 - 20:00,37.48474827,127.0329405,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피마마,사당점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 방배천로 19 (방배동),02-523-2966,"평일 08:00 - 23:00 | 주말, 공휴일 10:00 - 23:00",37.47822252,126.9822707,Y,Y,N,Y,Y,N,N,N,N,N,N,N
커피빈,내방역7번출구유중아트점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배4동,방배동,서울특별시 서초구 방배로 178 (방배동),02-592-8861,"평일 07:00 - 21:00 | 주말, 공휴일 08:00 - 21:00",37.4895311,126.992826,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피빈,뉴교보타워옆점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초4동,서초동,서울특별시 서초구 강남대로 449-3 (서초동),02-591-5177,"평일 07:00 - 22:00 | 주말, 공휴일 07:30 - 22:00",37.50235159,127.0248644,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피빈,서초동점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로 70 (서초동),02-3665-9507,평일 07:00 - 22:00 | 주말 08:00 - 22:00 (공휴일 포함),37.48668907,127.0105152,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피빈,서초우성점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초2동,서초동,서울특별시 서초구 강남대로51길 1 (서초동),02-582-0158,"평일, 토요일 07:00 - 22:00 | 일요일, 공휴일 08:00 - 22:00",37.49127685,127.0302441,Y,N,N,Y,Y,N,N,N,N,N,N,N
투썸플레이스,방배카페거리점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배본동,방배동,서울특별시 서초구 방배중앙로 204 (방배동),02-537-3339,평일 07:00 - 23:00 | 주말 08:00 - 23:00,37.49723701,126.9856769,Y,N,N,Y,Y,N,N,N,N,N,N,N
투썸플레이스,예술의전당점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로 34 (서초동),02-582-4541,매일 08:00 - 23:00,37.48370982,127.0119792,Y,Y,N,Y,Y,N,N,N,N,N,N,N
폴바셋,방배역점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배1동,방배동,서울특별시 서초구 방배로 103 (방배동),02-521-2723,매일 08:00 - 21:00,37.48326969,126.9961099,Y,N,N,Y,Y,N,N,N,N,N,N,N
할리스,교대역점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로30길 81,02-521-8944,평일 07:00 - 22:00 | 주말 08:00 - 22:00 | 운영시간 다를 수 있어 유선으로 문의바랍니다,37.49286379,127.0129668,Y,N,N,Y,Y,N,N,N,N,N,N,N
고품격커피공장,서초법조타운점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 법원로1길 11,0507-1381-8768,"매주 토, 일 휴무 월~금 : 07:30 ~ 17:00",37.49283284,127.0092694,Y,N,N,Y,Y,N,N,N,N,N,N,N
공존다방,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,양재2동,양재동,서울특별시 서초구 강남대로6길 28-12,0507-1312-0889,"월~금 : 07:00 ~ 21:00 토,일 : 10:00 ~ 18:00",37.46687174,127.0429606,Y,N,N,Y,Y,N,N,N,N,Y,N,N
공차,강남메가박스점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초4동,서초동,서울특별시 서초구 서초대로77길 3,0507-1359-8544,월~토 : 07:30 ~ 23:10 일 : 08:00 ~ 22:30,37.49804896,127.0264923,Y,N,N,Y,Y,N,N,N,N,N,N,N
공차,양재역점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,양재1동,양재동,서울특별시 서초구 남부순환로 2614,02-6326-1800,매일 09:00 ~ 23:00,37.48457107,127.0366176,Y,N,N,Y,Y,N,N,N,N,N,N,N
