시설물 구분,시설물명,소재지 주소,행정동,데이터기준일자
장애인용 승강기,(구립)서초한별어린이집,서울 서초구 양재동 249-12,양재2동,2025-09-18
장애인용 승강기,(사)한국문화스포츠진흥원,서울 서초구 양재동 309,양재2동,2025-09-18
장애인용 승강기,(주)CTK코스메틱스,서울 서초구 서초동 1485-6,서초3동,2025-09-18
장애인용 승강기,(주)hy,서울 서초구 잠원동 28-10,잠원동,2025-09-18
장애인용 승강기,(주)농협유통양재하나로클럽,서울 서초구 양재동 230,양재2동,2025-09-18
장애인용 승강기,(주)동원에프앤비,서울 서초구 양재동 275-7,양재2동,2025-09-18
장애인용 승강기,(주)래미안퍼스티지중심상가,서울 서초구 반포동 18-3,반포2동,2025-09-18
장애인용 승강기,(주)르본디앤씨,서울 서초구 반포동 19-1,반포4동,2025-09-18
장애인용 승강기,(주)신세계백화점강남점,서울 서초구 반포동 19-3,반포4동,2025-09-18
장애인용 승강기,(주)신세계센트럴시티,서울 서초구 반포동 19-3,반포4동,2025-09-18
장애인용 승강기,(주)양재하이브랜드,서울 서초구 양재동 215,양재2동,2025-09-18
장애인용 승강기,(주)오너클랜,서울 서초구 잠원동 22-11,잠원동,2025-09-18
장애인용 승강기,(주)호텔 티롤,서울 서초구 잠원동 18-5,잠원동,2025-09-18
장애인용 승강기,(주)화인스텍,서울 서초구 양재동 107-4,양재1동,2025-09-18
장애인용 승강기,109타워,서울 서초구 서초동 1591-5,서초3동,2025-09-18
장애인용 승강기,2NPARK,서울 서초구 서초동 1487-50,서초3동,2025-09-18
장애인용 승강기,33빌딩,서울 서초구 서초동 1551-4,서초3동,2025-09-18
장애인용 승강기,363강남타워,서울 서초구 서초동 1328-10,서초2동,2025-09-18
장애인용 승강기,511타워,서울 서초구 서초동 1338-11,서초2동,2025-09-18
장애인용 승강기,APROSQUARE,서울 서초구 서초동 1309-9,서초4동,2025-09-18
장애인용 승강기,BH빌딩,서울 서초구 방배동 902-5,방배1동,2025-09-18
장애인용 승강기,BLOCK77,서울 서초구 서초동 1307-22,서초4동,2025-09-18
장애인용 승강기,BNK디지털타워,서울 서초구 서초동 1321-11,서초2동,2025-09-18
장애인용 승강기,CJ방배사옥,서울 서초구 방배동 1026-28,방배3동,2025-09-18
장애인용 승강기,CJ키즈빌 어린이집,서울 서초구 방배동 2760,방배2동,2025-09-18
장애인용 승강기,DK밸리뷰시티,서울 서초구 서초동 1584-6,서초3동,2025-09-18
장애인용 승강기,DM타워,서울 서초구 방배동 924-11,방배1동,2025-09-18
장애인용 승강기,EWR빌딩,서울 서초구 서초동 1330-8,서초2동,2025-09-18
장애인용 승강기,GS서초자이,서울 서초구 방배동 3278,방배3동,2025-09-18
장애인용 승강기,HDC LABS,서울 서초구 서초동 1439-2,서초1동,2025-09-18
장애인용 승강기,IK빌딩,서울 서초구 방배동 915-13,방배1동,2025-09-18
장애인용 승강기,JC라디앙아파트,서울 서초구 서초동 1559-1,서초3동,2025-09-18
장애인용 승강기,JGYJ120,서울 서초구 방배동 981-16,방배3동,2025-09-18
장애인용 승강기,J빌딩,서울 서초구 잠원동 35-25,잠원동,2025-09-18
장애인용 승강기,KB골든라이프케어서초빌리지,서울 서초구 우면동 700,양재1동,2025-09-18
장애인용 승강기,KOTRA빌딩,서울 서초구 염곡동 300-9,내곡동,2025-09-18
장애인용 승강기,KT서초지사,서울 서초구 방배동 1001-1,서초3동,2025-09-18
장애인용 승강기,LAVA호텔,서울 서초구 서초동 1594-5,서초3동,2025-09-18
장애인용 승강기,LH서초3단지,서울 서초구 우면동 784,양재1동,2025-09-18
장애인용 승강기,LH서초4단지,서울 서초구 우면동 788,양재1동,2025-09-18
장애인용 승강기,M11빌딩,서울 서초구 서초동 1360-31,서초2동,2025-09-18
장애인용 승강기,MK빌딩,서울 서초구 양재동 264-3,양재2동,2025-09-18
장애인용 승강기,PSA서초어학학원,서울 서초구 서초동 1343-14,서초2동,2025-09-18
장애인용 승강기,R타워,서울 서초구 서초동 1589-15,서초3동,2025-09-18
장애인용 승강기,SDC학원,서울 서초구 방배동 823-1,방배4동,2025-09-18
장애인용 승강기,SPC1945,서울 서초구 양재동 11-149,양재1동,2025-09-18
장애인용 승강기,SR타워오피스텔,서울 서초구 서초동 1542-13,서초3동,2025-09-18
장애인용 승강기,SSI,서울 서초구 서초동 1500-1,서초3동,2025-09-18
장애인용 승강기,TS프리우스,서울 서초구 방배동 846-1,방배4동,2025-09-18
장애인용 승강기,TS프리우스APT,서울 서초구 반포동 71-3,반포4동,2025-09-18
장애인용 승강기,The Asset,서울 서초구 서초동 1321-20,서초2동,2025-09-18
장애인용 승강기,YM스페이스,서울 서초구 서초동 1665-27,서초1동,2025-09-18
장애인용 승강기,aT센터,서울 서초구 양재동 232,양재2동,2025-09-18
장애인용 승강기,bnf타워,서울 서초구 잠원동 8-28,잠원동,2025-09-18
장애인용 승강기,가람빌딩,서울 서초구 양재동 2-14,양재1동,2025-09-18
장애인용 승강기,가송빌딩,서울 서초구 반포동 95-3,반포4동,2025-09-18
장애인용 승강기,가톨릭 성의교정 옴니버스파크,서울 서초구 반포동 505,반포4동,2025-09-18
장애인용 승강기,강남메인타워,서울 서초구 서초동 1357-66,서초2동,2025-09-18
장애인용 승강기,강남미래타워,서울 서초구 서초동 1337,서초2동,2025-09-18
장애인용 승강기,강남삼부르네상스시티,서울 서초구 서초동 1339-4,서초2동,2025-09-18
장애인용 승강기,강남아르누보씨티2,서울 서초구 서초동 1330-4,서초2동,2025-09-18
장애인용 승강기,강남애니타워,서울 서초구 서초동 1330-20,서초2동,2025-09-18
장애인용 승강기,강남역 인앤인,서울 서초구 서초동 1330-12,서초2동,2025-09-18
장애인용 승강기,강남역I-PARK2차,서울 서초구 서초동 1309-2,서초4동,2025-09-18
장애인용 승강기,강남역대준빌딩,서울 서초구 서초동 1318-4,서초4동,2025-09-18
장애인용 승강기,강남역리가스퀘어,서울 서초구 서초동 1308-26,서초4동,2025-09-18
장애인용 승강기,강남오피스텔,서울 서초구 서초동 1308-25,서초4동,2025-09-18
