cache_key,시설물 구분,시설물명,소재지 주소,행정동,lat,lon,geocode_status
장애인용 승강기␟(주)화인스텍␟서울 서초구 양재동 107-4␟양재1동,장애인용 승강기,(주)화인스텍,서울 서초구 양재동 107-4,양재1동,37.47635544,127.03634889,ok
장애인용 승강기␟363강남타워␟서울 서초구 서초동 1328-10␟서초2동,장애인용 승강기,363강남타워,서울 서초구 서초동 1328-10,서초2동,37.49510444,127.02844493,ok
장애인용 승강기␟511타워␟서울 서초구 서초동 1338-11␟서초2동,장애인용 승강기,511타워,서울 서초구 서초동 1338-11,서초2동,37.49126869,127.03019062,ok
장애인용 승강기␟BNK디지털타워␟서울 서초구 서초동 1321-11␟서초2동,장애인용 승강기,BNK디지털타워,서울 서초구 서초동 1321-11,서초2동,37.49663780,127.02513315,ok
장애인용 승강기␟EWR빌딩␟서울 서초구 서초동 1330-8␟서초2동,장애인용 승강기,EWR빌딩,서울 서초구 서초동 1330-8,서초2동,37.49273058,127.02834283,ok
장애인용 승강기␟KB골든라이프케어서초빌리지␟서울 서초구 우면동 700␟양재1동,장애인용 승강기,KB골든라이프케어서초빌리지,서울 서초구 우면동 700,양재1동,37.46513641,127.02072512,ok
장애인용 승강기␟LH서초3단지␟서울 서초구 우면동 784␟양재1동,장애인용 승강기,LH서초3단지,서울 서초구 우면동 784,양재1동,37.45864320,127.02211221,ok
장애인용 승강기␟LH서초4단지␟서울 서초구 우면동 788␟양재1동,장애인용 승강기,LH서초4단지,서울 서초구 우면동 788,양재1동,37.45846170,127.02365486,ok
장애인용 승강기␟M11빌딩␟서울 서초구 서초동 1360-31␟서초2동,장애인용 승강기,M11빌딩,서울 서초구 서초동 1360-31,서초2동,37.48642543,127.03216557,ok
장애인용 승강기␟PSA서초어학학원␟서울 서초구 서초동 1343-14␟서초2동,장애인용 승강기,PSA서초어학학원,서울 서초구 서초동 1343-14,서초2동,37.48754736,127.02636009,ok
장애인용 승강기␟SPC1945␟서울 서초구 양재동 11-149␟양재1동,장애인용 승강기,SPC1945,서울 서초구 양재동 11-149,양재1동,37.48447152,127.03732101,ok
장애인용 승강기␟The Asset␟서울 서초구 서초동 1321-20␟서초2동,장애인용 승강기,The Asset,서울 서초구 서초동 1321-20,서초2동,37.49602527,127.02607969,ok
장애인용 승강기␟가람빌딩␟서울 서초구 양재동 2-14␟양재1동,장애인용 승강기,가람빌딩,서울 서초구 양재동 2-14,양재1동,37.48476108,127.04012905,ok
장애인용 승강기␟강남메인타워␟서울 서초구 서초동 1357-66␟서초2동,장애인용 승강기,강남메인타워,서울 서초구 서초동 1357-66,서초2동,37.48789250,127.03200530,ok
장애인용 승강기␟강남미래타워␟서울 서초구 서초동 1337␟서초2동,장애인용 승강기,강남미래타워,서울 서초구 서초동 1337,서초2동,37.49240605,127.02864926,ok
장애인용 승강기␟강남삼부르네상스시티␟서울 서초구 서초동 1339-4␟서초2동,장애인용 승강기,강남삼부르네상스시티,서울 서초구 서초동 1339-4,서초2동,37.48954275,127.03040771,ok
장애인용 승강기␟강남아르누보씨티2␟서울 서초구 서초동 1330-4␟서초2동,장애인용 승강기,강남아르누보씨티2,서울 서초구 서초동 1330-4,서초2동,37.49351578,127.02809276,ok
장애인용 승강기␟강남애니타워␟서울 서초구 서초동 1330-20␟서초2동,장애인용 승강기,강남애니타워,서울 서초구 서초동 1330-20,서초2동,37.49425142,127.02823337,ok
장애인용 승강기␟강남역 인앤인␟서울 서초구 서초동 1330-12␟서초2동,장애인용 승강기,강남역 인앤인,서울 서초구 서초동 1330-12,서초2동,37.49322334,127.02873630,ok
장애인용 승강기␟강남지웰타워␟서울 서초구 서초동 1327-13␟서초2동,장애인용 승강기,강남지웰타워,서울 서초구 서초동 1327-13,서초2동,37.49478799,127.02812208,ok
장애인용 승강기␟강남한화오벨리스크␟서울 서초구 서초동 1327-27␟서초2동,장애인용 승강기,강남한화오벨리스크,서울 서초구 서초동 1327-27,서초2동,37.49528735,127.02725707,ok
장애인용 승강기␟강남효성해링턴타워␟서울 서초구 서초동 1337-6␟서초2동,장애인용 승강기,강남효성해링턴타워,서울 서초구 서초동 1337-6,서초2동,37.49123527,127.02907556,ok
장애인용 승강기␟갤럭시타워␟서울 서초구 서초동 1330-10␟서초2동,장애인용 승강기,갤럭시타워,서울 서초구 서초동 1330-10,서초2동,37.49294656,127.02869447,ok
장애인용 승강기␟건영빌딩␟서울 서초구 양재동 15-7␟양재1동,장애인용 승강기,건영빌딩,서울 서초구 양재동 15-7,양재1동,37.48086820,127.03847673,ok
장애인용 승강기␟공간11차␟서울 서초구 양재동 4-5␟양재1동,장애인용 승강기,공간11차,서울 서초구 양재동 4-5,양재1동,37.48182939,127.04216656,ok
장애인용 승강기␟공간4차␟서울 서초구 양재동 19-8␟양재1동,장애인용 승강기,공간4차,서울 서초구 양재동 19-8,양재1동,37.48081280,127.04084431,ok
장애인용 승강기␟공간5차␟서울 서초구 양재동 19-18␟양재1동,장애인용 승강기,공간5차,서울 서초구 양재동 19-18,양재1동,37.48086746,127.04093965,ok
장애인용 승강기␟광영빌딩␟서울 서초구 양재동 16-6␟양재1동,장애인용 승강기,광영빌딩,서울 서초구 양재동 16-6,양재1동,37.48016483,127.03915055,ok
장애인용 승강기␟광정아파트␟서울 서초구 양재동 7-17␟양재1동,장애인용 승강기,광정아파트,서울 서초구 양재동 7-17,양재1동,37.48396605,127.04033553,ok
장애인용 승강기␟구보빌딩␟서울 서초구 양재동 84-5␟양재1동,장애인용 승강기,구보빌딩,서울 서초구 양재동 84-5,양재1동,37.48143147,127.04278094,ok
장애인용 승강기␟국립외교원␟서울 서초구 서초동 1376-2␟서초2동,장애인용 승강기,국립외교원,서울 서초구 서초동 1376-2,서초2동,37.48338331,127.03065418,ok
장애인용 승강기␟기쁜소식강남교회(IYF)␟서울 서초구 양재동 183␟양재1동,장애인용 승강기,기쁜소식강남교회(IYF),서울 서초구 양재동 183,양재1동,37.47676575,127.02777367,ok
장애인용 승강기␟길명오퍼스␟서울 서초구 양재동 9-38␟양재1동,장애인용 승강기,길명오퍼스,서울 서초구 양재동 9-38,양재1동,37.48251296,127.03966123,ok
장애인용 승강기␟남서울농업협동조합␟서울 서초구 양재동 5-10␟양재1동,장애인용 승강기,남서울농업협동조합,서울 서초구 양재동 5-10,양재1동,37.47982437,127.04066084,ok
장애인용 승강기␟남서울농협우면동지점␟서울 서초구 우면동 760␟양재1동,장애인용 승강기,남서울농협우면동지점,서울 서초구 우면동 760,양재1동,37.45724050,127.01593113,ok
장애인용 승강기␟남서울농협하나로마트␟서울 서초구 양재동 5-10␟양재1동,장애인용 승강기,남서울농협하나로마트,서울 서초구 양재동 5-10,양재1동,37.47982437,127.04066084,ok
장애인용 승강기␟네이처프라자␟서울 서초구 우면동 725␟양재1동,장애인용 승강기,네이처프라자,서울 서초구 우면동 725,양재1동,37.46404761,127.02502435,ok
장애인용 승강기␟네이처힐3단지␟서울 서초구 우면동 717␟양재1동,장애인용 승강기,네이처힐3단지,서울 서초구 우면동 717,양재1동,37.46409439,127.02811781,ok
장애인용 승강기␟네이처힐가든␟서울 서초구 우면동 701␟양재1동,장애인용 승강기,네이처힐가든,서울 서초구 우면동 701,양재1동,37.46455976,127.02073548,ok
장애인용 승강기␟뉴스카이빌딩␟서울 서초구 양재동 124␟양재1동,장애인용 승강기,뉴스카이빌딩,서울 서초구 양재동 124,양재1동,37.47642733,127.03754786,ok
장애인용 승강기␟다우월드아파트␟서울 서초구 서초동 1357-44␟서초2동,장애인용 승강기,다우월드아파트,서울 서초구 서초동 1357-44,서초2동,37.48798090,127.03128123,ok
장애인용 승강기␟단성빌딩␟서울 서초구 양재동 2-11␟양재1동,장애인용 승강기,단성빌딩,서울 서초구 양재동 2-11,양재1동,37.48468971,127.03962733,ok
장애인용 승강기␟대관빌딩␟서울 서초구 양재동 15-1␟양재1동,장애인용 승강기,대관빌딩,서울 서초구 양재동 15-1,양재1동,37.48153918,127.03761464,ok
장애인용 승강기␟대륭서초타워␟서울 서초구 서초동 1337-20␟서초2동,장애인용 승강기,대륭서초타워,서울 서초구 서초동 1337-20,서초2동,37.49205259,127.02973467,ok
장애인용 승강기␟대우디오빌프라임␟서울 서초구 서초동 1337-22␟서초2동,장애인용 승강기,대우디오빌프라임,서울 서초구 서초동 1337-22,서초2동,37.49157977,127.02997273,ok
장애인용 승강기␟더나빌딩␟서울 서초구 서초동 1360-38␟서초2동,장애인용 승강기,더나빌딩,서울 서초구 서초동 1360-38,서초2동,37.48611838,127.03213141,ok
장애인용 승강기␟도곡이스타빌␟서울 서초구 양재동 3-14␟양재1동,장애인용 승강기,도곡이스타빌,서울 서초구 양재동 3-14,양재1동,37.48289541,127.04206427,ok
장애인용 승강기␟도루코기술연구소␟서울 서초구 서초동 1354-2␟서초2동,장애인용 승강기,도루코기술연구소,서울 서초구 서초동 1354-2,서초2동,37.48413766,127.02873248,ok
장애인용 승강기␟동심빌딩␟서울 서초구 서초동 1362-16␟서초2동,장애인용 승강기,동심빌딩,서울 서초구 서초동 1362-16,서초2동,37.48502441,127.03266134,ok
장애인용 승강기␟동오빌딩␟서울 서초구 서초동 1337-4␟서초2동,장애인용 승강기,동오빌딩,서울 서초구 서초동 1337-4,서초2동,37.49145747,127.02904670,ok
장애인용 승강기␟래미안리더스원␟서울 서초구 서초동 1755␟서초2동,장애인용 승강기,래미안리더스원,서울 서초구 서초동 1755,서초2동,37.49090646,127.02809529,ok
장애인용 승강기␟래미안리더스원 상가␟서울 서초구 서초동 1755-1␟서초2동,장애인용 승강기,래미안리더스원 상가,서울 서초구 서초동 1755-1,서초2동,37.49180768,127.02718016,ok
